Ticker,Mean,Median,Std Dev,Min,Max,Count
CPRT,0.00012613149836759776,0.0003663313047815599,0.01255322435611921,-0.06563371427398784,0.07376147628924169,656
GLW,0.0005266382551629445,0.0006076643319540545,0.014118117273951632,-0.09635277289932778,0.10385301958266492,656
CPAY,0.00048543134386334305,0.0011944093710244117,0.016038755772503327,-0.06550837912234549,0.15797238815646528,656
CTVA,0.00029956508218044914,0.000680111892218134,0.013550857727172887,-0.10388564601635604,0.06472729769620027,656
CSGP,-7.68962392199256e-05,-0.0006473357242303609,0.016869163612142107,-0.08814849387453576,0.08942413172069782,656
COST,0.000834074795783492,0.0010179997908405167,0.011279644388963114,-0.04958684991008759,0.06298458418657082,656
CTRA,-0.0006293160401284947,0.0,0.015222069368412632,-0.061399917366444276,0.07299876334827576,656
CRWD,0.0021794212954195855,0.00285422860660521,0.024596876464081464,-0.08733202658322227,0.1645409816938722,656
CCI,-9.587595699827345e-05,-0.0003076195644732612,0.013624303152069148,-0.07085017414998551,0.048598798589729895,656
CSX,0.00017179258613078056,0.000576715230573252,0.01216885418634464,-0.04153355482139841,0.08437379933740013,656
CMI,0.0006758821273682206,0.000595405093068052,0.014220053070380994,-0.05226187925260571,0.1218930989953893,656
CVS,-9.391234445741363e-05,0.0005588264891802922,0.015318739254950024,-0.06885301285146536,0.06428568703787664,656
DHR,-8.955417820125315e-05,0.00022913487106071342,0.0144220397249957,-0.07003991594785404,0.11525050629099147,656
DRI,0.0003198283473357804,-0.0001975877047733953,0.012054083274435757,-0.047986912055205666,0.07119477814778272,656
DDOG,0.0006658163542367022,8.156353628385952e-05,0.02260474459491198,-0.07956337473450376,0.1200000280621408,656
DVA,0.0009364921515841297,0.001194829987554351,0.016827163206275066,-0.062289107139198774,0.07225030322776484,656
DAY,0.0002739092770584781,0.0011811706188117486,0.020452121914818162,-0.06958251690638925,0.14338017722787794,656
DECK,0.00019325956146043946,0.00014541099910177278,0.019463128972489814,-0.09556351305400647,0.13963081040893977,656
DE,0.0005133626981628686,0.0006556886352729497,0.014498001065309192,-0.06977641630467288,0.11005100309734096,656
DELL,0.0014761381716315823,0.0013484789965147559,0.022639637378411074,-0.09935856143517673,0.16028121932365036,656
DAL,0.0006827557057490964,0.0012438174126111075,0.020217272869000824,-0.07692302407852294,0.19940397292815487,656
DVN,-0.0011187516248022254,-0.0008718220308803677,0.01835318748711012,-0.08905509287692165,0.19270635718951837,656
DXCM,-0.00036605787178756806,-0.00020390124725178267,0.022198586703196983,-0.08403990319104016,0.11233143897757226,656
FANG,-0.0006584690522171741,0.00010598358291640398,0.017708862996546098,-0.07967176472985338,0.16489674991618405,656
DLR,0.0003668806687963942,0.0010894154896417822,0.015051068903455752,-0.05178260372660604,0.0837113242544425,656
DG,-0.00043977990800777027,-0.00016265278803253755,0.01876851816718553,-0.1108485441371796,0.08296938822795634,656
DLTR,0.00010231473127104557,-0.0003183882931126887,0.019243074125934425,-0.12680312441468058,0.08951617825415827,656
D,-6.951509995525893e-05,0.0007355415135229934,0.013768660756942584,-0.07458757518679335,0.061344718379952354,656
DPZ,-0.00010283280693129942,0.0002509408793833623,0.015622205325353735,-0.09440318791036863,0.06564080074295744,656
